product_name,price,unit,aliases,tags,optimized_tags
ซีลาย # 26 เบา 5.6-5.9 กก./มัด,19,เส้น,เส้นซีลาย26เบา,เส้นซี;เหล็กกล่อง;เหล็กเบา;26 gauge;บาง;เหล็ก;เบา,"เหล็ก, เส้นซี, เบา, 26 gauge"
ซีลาย # 26 เต็ม 6.0-6.5 กก./มัด,20,เส้น,เส้นซีลาย26เต็ม,เส้นซี;เหล็กกล่อง;เหล็กเต็ม;26 gauge;เหล็ก;เต็ม,"เหล็ก, เส้นซี, เต็ม, 26 gauge"
ซีลาย # 24 เบา 7.0-7.5 กก./มัด,23,เส้น,เส้นซีลาย24เบา,เส้นซี;เหล็กกล่อง;เหล็กเบา;24 gauge;บาง;เหล็ก;เบา,"เหล็ก, เส้นซี, เบา, 24 gauge"
ซีลาย # 24 เต็ม 8.0-8.5 กก./มัด,27,เส้น,เส้นซีลาย24เต็ม,เส้นซี;เหล็กกล่อง;เหล็กเต็ม;24 gauge;เหล็ก;เต็ม,"เหล็ก, เส้นซี, เต็ม, 24 gauge"
ฉากริมสังกะสี 6 หุน (น้ำหนัก 3.5 - 3.8 กิโล/ 25 เส้น),8,เส้น,ฉาก6หุน,ฉากริม;สังกะสี;เหล็กฉาก;มุม;6 หุน,"สังกะสี, เหล็กฉาก"
"ฉากริมสังกะสี 1""x1"" (น้ำหนัก 6.0 - 6.5 กิโล/ 25 เส้น)",11,เส้น,ฉาก1นิ้ว,ฉากริม;สังกะสี;เหล็กฉาก;มุม;1x1,"สังกะสี, เหล็กฉาก"
ลวดขาวตรง 3 เมตร #11 ( 3 มิล),7,เส้น,ลวดขาว11,ลวดขาว;ลวดตรง;3 มิล;3 เมตร;ลวดเส้น;ลวด;11 gauge;ยาว,"ลวด, ลวดตรง, 11 gauge, 3 มิล, ยาว"
แผ่นยิปซั่ม ธรรมดา 9 mm (คนอฟ),110,แผ่น,ยิปซั่ม9มมคนอฟ,ยิปซั่ม;ธรรมดา;9 mm;คนอฟ;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม ธรรมดา 9 mm (ตราช้าง),129,แผ่น,ยิปซั่ม9มมช้าง,ยิปซั่ม;ธรรมดา;9 mm;ช้าง;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม ธรรมดา 9 mm (ยิปไลน์),100,แผ่น,ยิปซั่ม9มมยิปไลน์,ยิปซั่ม;ธรรมดา;9 mm;ยิปไลน์;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม กันชื้น 9 mm (คนอฟ),165,แผ่น,ยิปซั่มกันชื้น9มมคนอฟ,ยิปซั่ม;กันชื้น;9 mm;คนอฟ;ห้องน้ำ;ผนัง;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, กันชื้น, 9 mm"
แผ่นยิปซั่ม กันชื้น 9 mm (ตราช้าง),185,แผ่น,ยิปซั่มกันชื้น9มมช้าง,ยิปซั่ม;กันชื้น;9 mm;ช้าง;ห้องน้ำ;ผนัง;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, กันชื้น, 9 mm"
